year,nome,month,Number of Fires,date
1998,RONDONIA,October,483,1998-01-01
1999,RONDONIA,October,1.884,1999-01-01
2000,RONDONIA,October,644,2000-01-01
2001,RONDONIA,October,796,2001-01-01
2002,RONDONIA,October,3.554,2002-01-01
2003,RONDONIA,October,4.962,2003-01-01
2004,RONDONIA,October,3.094,2004-01-01
2005,RONDONIA,October,2.559,2005-01-01
2006,RONDONIA,October,1.148,2006-01-01
2007,RONDONIA,October,2.023,2007-01-01
2008,RONDONIA,October,1.482,2008-01-01
2009,RONDONIA,October,1.444,2009-01-01
2010,RONDONIA,October,1.307,2010-01-01
2011,RONDONIA,October,822,2011-01-01
2012,RONDONIA,October,1.229,2012-01-01
2013,RONDONIA,October,555,2013-01-01
2014,RONDONIA,October,1.063,2014-01-01
2015,RONDONIA,October,2.598,2015-01-01
2016,RONDONIA,October,1.844,2016-01-01
2017,RONDONIA,October,2.19,2017-01-01
1998,RONDONIA,November,3,1998-01-01
1999,RONDONIA,November,41,1999-01-01
2000,RONDONIA,November,13,2000-01-01
2001,RONDONIA,November,91,2001-01-01
2002,RONDONIA,November,639,2002-01-01
2003,RONDONIA,November,526,2003-01-01
2004,RONDONIA,November,452,2004-01-01
2005,RONDONIA,November,465,2005-01-01
2006,RONDONIA,November,253,2006-01-01
2007,RONDONIA,November,53,2007-01-01
2008,RONDONIA,November,78,2008-01-01
2009,RONDONIA,November,128,2009-01-01
2010,RONDONIA,November,238,2010-01-01
2011,RONDONIA,November,245,2011-01-01
2012,RONDONIA,November,174,2012-01-01
2013,RONDONIA,November,108,2013-01-01
2014,RONDONIA,November,202,2014-01-01
2015,RONDONIA,November,1.002,2015-01-01
2016,RONDONIA,November,401,2016-01-01
2017,RONDONIA,November,372,2017-01-01
1998,RONDONIA,December,33,1998-01-01
1999,RONDONIA,December,0,1999-01-01
2000,RONDONIA,December,7,2000-01-01
2001,RONDONIA,December,1,2001-01-01
2002,RONDONIA,December,91,2002-01-01
2003,RONDONIA,December,214,2003-01-01
2004,RONDONIA,December,208,2004-01-01
2005,RONDONIA,December,36,2005-01-01
2006,RONDONIA,December,4,2006-01-01
2007,RONDONIA,December,6,2007-01-01
2008,RONDONIA,December,2,2008-01-01
2009,RONDONIA,December,9,2009-01-01
2010,RONDONIA,December,158,2010-01-01
2011,RONDONIA,December,37,2011-01-01
2012,RONDONIA,December,50,2012-01-01
2013,RONDONIA,December,143,2013-01-01
2014,RONDONIA,December,144,2014-01-01
2015,RONDONIA,December,282,2015-01-01
2016,RONDONIA,December,148,2016-01-01
1998,RORAIMA,January,0,1998-01-01
1999,RORAIMA,January,15,1999-01-01
2000,RORAIMA,January,18,2000-01-01
2001,RORAIMA,January,101,2001-01-01
2002,RORAIMA,January,302,2002-01-01
2003,RORAIMA,January,547,2003-01-01
2004,RORAIMA,January,355,2004-01-01
2005,RORAIMA,January,106,2005-01-01
2006,RORAIMA,January,70,2006-01-01
2007,RORAIMA,January,194,2007-01-01
2008,RORAIMA,January,245,2008-01-01
2009,RORAIMA,January,45,2009-01-01
2010,RORAIMA,January,351,2010-01-01
2011,RORAIMA,January,225,2011-01-01
2012,RORAIMA,January,217,2012-01-01
2013,RORAIMA,January,397,2013-01-01
2014,RORAIMA,January,355,2014-01-01
2015,RORAIMA,January,330,2015-01-01
2016,RORAIMA,January,1.754,2016-01-01
2017,RORAIMA,January,108,2017-01-01
1998,RORAIMA,February,0,1998-01-01
1999,RORAIMA,February,20,1999-01-01
2000,RORAIMA,February,57,2000-01-01
2001,RORAIMA,February,646,2001-01-01
2002,RORAIMA,February,476,2002-01-01
2003,RORAIMA,February,767,2003-01-01
2004,RORAIMA,February,259,2004-01-01
2005,RORAIMA,February,105,2005-01-01
2006,RORAIMA,February,283,2006-01-01
2007,RORAIMA,February,796,2007-01-01
2008,RORAIMA,February,138,2008-01-01
2009,RORAIMA,February,153,2009-01-01
2010,RORAIMA,February,470,2010-01-01
2011,RORAIMA,February,112,2011-01-01
2012,RORAIMA,February,130,2012-01-01
2013,RORAIMA,February,62,2013-01-01
2014,RORAIMA,February,226,2014-01-01
2015,RORAIMA,February,418,2015-01-01
2016,RORAIMA,February,171,2016-01-01
2017,RORAIMA,February,129,2017-01-01
1998,RORAIMA,March,0,1998-01-01
1999,RORAIMA,March,98,1999-01-01
2000,RORAIMA,March,125,2000-01-01
2001,RORAIMA,March,1.108,2001-01-01
2002,RORAIMA,March,820,2002-01-01
2003,RORAIMA,March,1.131,2003-01-01
2004,RORAIMA,March,276,2004-01-01
2005,RORAIMA,March,244,2005-01-01
2006,RORAIMA,March,385,2006-01-01
2007,RORAIMA,March,665,2007-01-01
2008,RORAIMA,March,422,2008-01-01
2009,RORAIMA,March,176,2009-01-01
2010,RORAIMA,March,417,2010-01-01
2011,RORAIMA,March,91,2011-01-01
2012,RORAIMA,March,99,2012-01-01
2013,RORAIMA,March,179,2013-01-01
2014,RORAIMA,March,494,2014-01-01
2015,RORAIMA,March,163,2015-01-01
2016,RORAIMA,March,1.081,2016-01-01
2017,RORAIMA,March,216,2017-01-01
1998,RORAIMA,April,0,1998-01-01
1999,RORAIMA,April,16,1999-01-01
2000,RORAIMA,April,0,2000-01-01
2001,RORAIMA,April,380,2001-01-01
2002,RORAIMA,April,41,2002-01-01
2003,RORAIMA,April,268,2003-01-01
2004,RORAIMA,April,182,2004-01-01
2005,RORAIMA,April,22,2005-01-01
2006,RORAIMA,April,201,2006-01-01
2007,RORAIMA,April,58,2007-01-01
2008,RORAIMA,April,175,2008-01-01
2009,RORAIMA,April,115,2009-01-01
2010,RORAIMA,April,15,2010-01-01
2011,RORAIMA,April,108,2011-01-01
2012,RORAIMA,April,25,2012-01-01
2013,RORAIMA,April,87,2013-01-01
2014,RORAIMA,April,162,2014-01-01
2015,RORAIMA,April,278,2015-01-01
2016,RORAIMA,April,126,2016-01-01
2017,RORAIMA,April,51,2017-01-01
1998,RORAIMA,May,0,1998-01-01
1999,RORAIMA,May,0,1999-01-01
2000,RORAIMA,May,7,2000-01-01
2001,RORAIMA,May,9,2001-01-01
2002,RORAIMA,May,0,2002-01-01
2003,RORAIMA,May,0,2003-01-01
2004,RORAIMA,May,2,2004-01-01
2005,RORAIMA,May,1,2005-01-01
2006,RORAIMA,May,0,2006-01-01
2007,RORAIMA,May,0,2007-01-01
2008,RORAIMA,May,8,2008-01-01
2009,RORAIMA,May,219,2009-01-01
2010,RORAIMA,May,3,2010-01-01
2011,RORAIMA,May,4,2011-01-01
2012,RORAIMA,May,18,2012-01-01
2013,RORAIMA,May,4,2013-01-01
2014,RORAIMA,May,58,2014-01-01
2015,RORAIMA,May,12,2015-01-01
2016,RORAIMA,May,22,2016-01-01
2017,RORAIMA,May,29,2017-01-01
1998,RORAIMA,June,0,1998-01-01
1999,RORAIMA,June,3,1999-01-01
2000,RORAIMA,June,0,2000-01-01
2001,RORAIMA,June,1,2001-01-01
2002,RORAIMA,June,0,2002-01-01
2003,RORAIMA,June,0,2003-01-01
2004,RORAIMA,June,6,2004-01-01
2005,RORAIMA,June,5,2005-01-01
2006,RORAIMA,June,0,2006-01-01
2007,RORAIMA,June,1,2007-01-01
2008,RORAIMA,June,0,2008-01-01
2009,RORAIMA,June,16,2009-01-01
2010,RORAIMA,June,0,2010-01-01
2011,RORAIMA,June,6,2011-01-01
2012,RORAIMA,June,22,2012-01-01
2013,RORAIMA,June,6,2013-01-01
2014,RORAIMA,June,4,2014-01-01
2015,RORAIMA,June,3,2015-01-01
2016,RORAIMA,June,7,2016-01-01
2017,RORAIMA,June,4,2017-01-01
1998,RORAIMA,July,1,1998-01-01
1999,RORAIMA,July,4,1999-01-01
2000,RORAIMA,July,0,2000-01-01
2001,RORAIMA,July,1,2001-01-01
2002,RORAIMA,July,7,2002-01-01
2003,RORAIMA,July,0,2003-01-01
2004,RORAIMA,July,2,2004-01-01
2005,RORAIMA,July,2,2005-01-01
2006,RORAIMA,July,0,2006-01-01
2007,RORAIMA,July,3,2007-01-01
2008,RORAIMA,July,0,2008-01-01
2009,RORAIMA,July,18,2009-01-01
2010,RORAIMA,July,1,2010-01-01
2011,RORAIMA,July,9,2011-01-01
2012,RORAIMA,July,2,2012-01-01
2013,RORAIMA,July,4,2013-01-01
2014,RORAIMA,July,9,2014-01-01
2015,RORAIMA,July,5,2015-01-01
2016,RORAIMA,July,0,2016-01-01
2017,RORAIMA,July,3,2017-01-01
1998,RORAIMA,August,0,1998-01-01
1999,RORAIMA,August,1,1999-01-01
2000,RORAIMA,August,9,2000-01-01
2001,RORAIMA,August,4,2001-01-01
2002,RORAIMA,August,7,2002-01-01
2003,RORAIMA,August,2,2003-01-01
2004,RORAIMA,August,18,2004-01-01
2005,RORAIMA,August,9,2005-01-01
2006,RORAIMA,August,4,2006-01-01
2007,RORAIMA,August,2,2007-01-01
2008,RORAIMA,August,4,2008-01-01
2009,RORAIMA,August,29,2009-01-01
2010,RORAIMA,August,3,2010-01-01
2011,RORAIMA,August,39,2011-01-01
2012,RORAIMA,August,4,2012-01-01
2013,RORAIMA,August,3,2013-01-01
2014,RORAIMA,August,12,2014-01-01
2015,RORAIMA,August,11,2015-01-01
2016,RORAIMA,August,11,2016-01-01
2017,RORAIMA,August,35,2017-01-01
1998,RORAIMA,September,2,1998-01-01
1999,RORAIMA,September,3,1999-01-01
2000,RORAIMA,September,12,2000-01-01
2001,RORAIMA,September,1,2001-01-01
2002,RORAIMA,September,48,2002-01-01
2003,RORAIMA,September,6,2003-01-01
2004,RORAIMA,September,9,2004-01-01
2005,RORAIMA,September,72,2005-01-01
2006,RORAIMA,September,40,2006-01-01
2007,RORAIMA,September,9,2007-01-01
2008,RORAIMA,September,17,2008-01-01
2009,RORAIMA,September,117,2009-01-01
2010,RORAIMA,September,18,2010-01-01
2011,RORAIMA,September,53,2011-01-01
2012,RORAIMA,September,67,2012-01-01
2013,RORAIMA,September,18,2013-01-01
2014,RORAIMA,September,67,2014-01-01
2015,RORAIMA,September,77,2015-01-01
2016,RORAIMA,September,19,2016-01-01
2017,RORAIMA,September,43,2017-01-01
1998,RORAIMA,October,1,1998-01-01
1999,RORAIMA,October,10,1999-01-01
2000,RORAIMA,October,25,2000-01-01
2001,RORAIMA,October,13,2001-01-01
2002,RORAIMA,October,191,2002-01-01
2003,RORAIMA,October,14,2003-01-01
2004,RORAIMA,October,53,2004-01-01
2005,RORAIMA,October,88,2005-01-01
2006,RORAIMA,October,135,2006-01-01
2007,RORAIMA,October,15,2007-01-01
2008,RORAIMA,October,78,2008-01-01
2009,RORAIMA,October,197,2009-01-01
2010,RORAIMA,October,64,2010-01-01
2011,RORAIMA,October,65,2011-01-01
2012,RORAIMA,October,152,2012-01-01
2013,RORAIMA,October,63,2013-01-01
2014,RORAIMA,October,61,2014-01-01
2015,RORAIMA,October,181,2015-01-01
2016,RORAIMA,October,101,2016-01-01
2017,RORAIMA,October,156,2017-01-01
1998,RORAIMA,November,1,1998-01-01
1999,RORAIMA,November,15,1999-01-01
2000,RORAIMA,November,32,2000-01-01
2001,RORAIMA,November,76,2001-01-01
2002,RORAIMA,November,133,2002-01-01
2003,RORAIMA,November,27,2003-01-01
2004,RORAIMA,November,135,2004-01-01
2005,RORAIMA,November,135,2005-01-01
2006,RORAIMA,November,26,2006-01-01
2007,RORAIMA,November,112,2007-01-01
2008,RORAIMA,November,39,2008-01-01
2009,RORAIMA,November,312,2009-01-01
2010,RORAIMA,November,27,2010-01-01
2011,RORAIMA,November,121,2011-01-01
2012,RORAIMA,November,187,2012-01-01
2013,RORAIMA,November,106,2013-01-01
2014,RORAIMA,November,143,2014-01-01
2015,RORAIMA,November,280,2015-01-01
2016,RORAIMA,November,71,2016-01-01
2017,RORAIMA,November,327,2017-01-01
1998,RORAIMA,December,16,1998-01-01
1999,RORAIMA,December,35,1999-01-01
2000,RORAIMA,December,77,2000-01-01
2001,RORAIMA,December,76,2001-01-01
2002,RORAIMA,December,199,2002-01-01
2003,RORAIMA,December,157,2003-01-01
2004,RORAIMA,December,160,2004-01-01
2005,RORAIMA,December,71,2005-01-01
2006,RORAIMA,December,101,2006-01-01
2007,RORAIMA,December,8,2007-01-01
2008,RORAIMA,December,5,2008-01-01
2009,RORAIMA,December,290,2009-01-01
2010,RORAIMA,December,73,2010-01-01
2011,RORAIMA,December,249,2011-01-01
2012,RORAIMA,December,78,2012-01-01
2013,RORAIMA,December,65,2013-01-01
2014,RORAIMA,December,277,2014-01-01
2015,RORAIMA,December,304,2015-01-01
2016,RORAIMA,December,136,2016-01-01
1998,SANTA CATARINA,January,0,1998-01-01
1999,SANTA CATARINA,January,11,1999-01-01
2000,SANTA CATARINA,January,14,2000-01-01
2001,SANTA CATARINA,January,11,2001-01-01
2002,SANTA CATARINA,January,22,2002-01-01
2003,SANTA CATARINA,January,45,2003-01-01
2004,SANTA CATARINA,January,37,2004-01-01
2005,SANTA CATARINA,January,46,2005-01-01
2006,SANTA CATARINA,January,41,2006-01-01
2007,SANTA CATARINA,January,9,2007-01-01
2008,SANTA CATARINA,January,25,2008-01-01
2009,SANTA CATARINA,January,21,2009-01-01
2010,SANTA CATARINA,January,2,2010-01-01
2011,SANTA CATARINA,January,9,2011-01-01
2012,SANTA CATARINA,January,14,2012-01-01
2013,SANTA CATARINA,January,18,2013-01-01
2014,SANTA CATARINA,January,58,2014-01-01
2015,SANTA CATARINA,January,28,2015-01-01
2016,SANTA CATARINA,January,53,2016-01-01
2017,SANTA CATARINA,January,46,2017-01-01
1998,SANTA CATARINA,February,0,1998-01-01
1999,SANTA CATARINA,February,2,1999-01-01
2000,SANTA CATARINA,February,8,2000-01-01
2001,SANTA CATARINA,February,0,2001-01-01
2002,SANTA CATARINA,February,5,2002-01-01
2003,SANTA CATARINA,February,43,2003-01-01
2004,SANTA CATARINA,February,29,2004-01-01
2005,SANTA CATARINA,February,46,2005-01-01
2006,SANTA CATARINA,February,18,2006-01-01
2007,SANTA CATARINA,February,14,2007-01-01
2008,SANTA CATARINA,February,29,2008-01-01
2009,SANTA CATARINA,February,7,2009-01-01
2010,SANTA CATARINA,February,15,2010-01-01
2011,SANTA CATARINA,February,1,2011-01-01
2012,SANTA CATARINA,February,13,2012-01-01
2013,SANTA CATARINA,February,12,2013-01-01
2014,SANTA CATARINA,February,27,2014-01-01
2015,SANTA CATARINA,February,23,2015-01-01
2016,SANTA CATARINA,February,10,2016-01-01
2017,SANTA CATARINA,February,31,2017-01-01
1998,SANTA CATARINA,March,0,1998-01-01
1999,SANTA CATARINA,March,7,1999-01-01
2000,SANTA CATARINA,March,46,2000-01-01
2001,SANTA CATARINA,March,1,2001-01-01
2002,SANTA CATARINA,March,12,2002-01-01
2003,SANTA CATARINA,March,58,2003-01-01
2004,SANTA CATARINA,March,73,2004-01-01
2005,SANTA CATARINA,March,92,2005-01-01
2006,SANTA CATARINA,March,48,2006-01-01
2007,SANTA CATARINA,March,23,2007-01-01
2008,SANTA CATARINA,March,14,2008-01-01
2009,SANTA CATARINA,March,33,2009-01-01
2010,SANTA CATARINA,March,9,2010-01-01
2011,SANTA CATARINA,March,8,2011-01-01
2012,SANTA CATARINA,March,65,2012-01-01
2013,SANTA CATARINA,March,14,2013-01-01
2014,SANTA CATARINA,March,15,2014-01-01
2015,SANTA CATARINA,March,37,2015-01-01
2016,SANTA CATARINA,March,21,2016-01-01
2017,SANTA CATARINA,March,12,2017-01-01
1998,SANTA CATARINA,April,0,1998-01-01
1999,SANTA CATARINA,April,0,1999-01-01
2000,SANTA CATARINA,April,7,2000-01-01
2001,SANTA CATARINA,April,1,2001-01-01
2002,SANTA CATARINA,April,7,2002-01-01
2003,SANTA CATARINA,April,120,2003-01-01
2004,SANTA CATARINA,April,59,2004-01-01
2005,SANTA CATARINA,April,25,2005-01-01
2006,SANTA CATARINA,April,30,2006-01-01
2007,SANTA CATARINA,April,2,2007-01-01
2008,SANTA CATARINA,April,31,2008-01-01
2009,SANTA CATARINA,April,57,2009-01-01
2010,SANTA CATARINA,April,19,2010-01-01
2011,SANTA CATARINA,April,5,2011-01-01
2012,SANTA CATARINA,April,40,2012-01-01
2013,SANTA CATARINA,April,46,2013-01-01
2014,SANTA CATARINA,April,34,2014-01-01
2015,SANTA CATARINA,April,32,2015-01-01
2016,SANTA CATARINA,April,36,2016-01-01
2017,SANTA CATARINA,April,26,2017-01-01
1998,SANTA CATARINA,May,0,1998-01-01
1999,SANTA CATARINA,May,1,1999-01-01
2000,SANTA CATARINA,May,0,2000-01-01
2001,SANTA CATARINA,May,2,2001-01-01
2002,SANTA CATARINA,May,3,2002-01-01
2003,SANTA CATARINA,May,84,2003-01-01
2004,SANTA CATARINA,May,2,2004-01-01
2005,SANTA CATARINA,May,21,2005-01-01
2006,SANTA CATARINA,May,33,2006-01-01
2007,SANTA CATARINA,May,2,2007-01-01
2008,SANTA CATARINA,May,15,2008-01-01
2009,SANTA CATARINA,May,33,2009-01-01
2010,SANTA CATARINA,May,1,2010-01-01
2011,SANTA CATARINA,May,16,2011-01-01
2012,SANTA CATARINA,May,60,2012-01-01
2013,SANTA CATARINA,May,52,2013-01-01
2014,SANTA CATARINA,May,42,2014-01-01
2015,SANTA CATARINA,May,70,2015-01-01
2016,SANTA CATARINA,May,26,2016-01-01
2017,SANTA CATARINA,May,36,2017-01-01
1998,SANTA CATARINA,June,2,1998-01-01
1999,SANTA CATARINA,June,0,1999-01-01
2000,SANTA CATARINA,June,2,2000-01-01
2001,SANTA CATARINA,June,1,2001-01-01
2002,SANTA CATARINA,June,0,2002-01-01
2003,SANTA CATARINA,June,68,2003-01-01
2004,SANTA CATARINA,June,127,2004-01-01
2005,SANTA CATARINA,June,58,2005-01-01
2006,SANTA CATARINA,June,32,2006-01-01
2007,SANTA CATARINA,June,11,2007-01-01
2008,SANTA CATARINA,June,2,2008-01-01
2009,SANTA CATARINA,June,14,2009-01-01
2010,SANTA CATARINA,June,1,2010-01-01
2011,SANTA CATARINA,June,26,2011-01-01
2012,SANTA CATARINA,June,42,2012-01-01
2013,SANTA CATARINA,June,31,2013-01-01
2014,SANTA CATARINA,June,3,2014-01-01
2015,SANTA CATARINA,June,104,2015-01-01
2016,SANTA CATARINA,June,79,2016-01-01
2017,SANTA CATARINA,June,70,2017-01-01
1998,SANTA CATARINA,July,0,1998-01-01
1999,SANTA CATARINA,July,2,1999-01-01
2000,SANTA CATARINA,July,21,2000-01-01
2001,SANTA CATARINA,July,5,2001-01-01
2002,SANTA CATARINA,July,82,2002-01-01
2003,SANTA CATARINA,July,43,2003-01-01
2004,SANTA CATARINA,July,94,2004-01-01
2005,SANTA CATARINA,July,90,2005-01-01
2006,SANTA CATARINA,July,74,2006-01-01
2007,SANTA CATARINA,July,12,2007-01-01
2008,SANTA CATARINA,July,46,2008-01-01
2009,SANTA CATARINA,July,26,2009-01-01
2010,SANTA CATARINA,July,31,2010-01-01
2011,SANTA CATARINA,July,31,2011-01-01
2012,SANTA CATARINA,July,42,2012-01-01
2013,SANTA CATARINA,July,69,2013-01-01
2014,SANTA CATARINA,July,82,2014-01-01
2015,SANTA CATARINA,July,45,2015-01-01
2016,SANTA CATARINA,July,480,2016-01-01
2017,SANTA CATARINA,July,591,2017-01-01
1998,SANTA CATARINA,August,0,1998-01-01
1999,SANTA CATARINA,August,51,1999-01-01
2000,SANTA CATARINA,August,69,2000-01-01
2001,SANTA CATARINA,August,24,2001-01-01
2002,SANTA CATARINA,August,702,2002-01-01
2003,SANTA CATARINA,August,1.513,2003-01-01
2004,SANTA CATARINA,August,728,2004-01-01
2005,SANTA CATARINA,August,391,2005-01-01
2006,SANTA CATARINA,August,728,2006-01-01
2007,SANTA CATARINA,August,462,2007-01-01
2008,SANTA CATARINA,August,51,2008-01-01
2009,SANTA CATARINA,August,759,2009-01-01
2010,SANTA CATARINA,August,511,2010-01-01
2011,SANTA CATARINA,August,175,2011-01-01
2012,SANTA CATARINA,August,398,2012-01-01
2013,SANTA CATARINA,August,236,2013-01-01
2014,SANTA CATARINA,August,459,2014-01-01
2015,SANTA CATARINA,August,379,2015-01-01
2016,SANTA CATARINA,August,765,2016-01-01
2017,SANTA CATARINA,August,713,2017-01-01
1998,SANTA CATARINA,September,6,1998-01-01
1999,SANTA CATARINA,September,101,1999-01-01
2000,SANTA CATARINA,September,36,2000-01-01
2001,SANTA CATARINA,September,18,2001-01-01
2002,SANTA CATARINA,September,416,2002-01-01
2003,SANTA CATARINA,September,1.339,2003-01-01
2004,SANTA CATARINA,September,755,2004-01-01
2005,SANTA CATARINA,September,116,2005-01-01
2006,SANTA CATARINA,September,530,2006-01-01
2007,SANTA CATARINA,September,617,2007-01-01
2008,SANTA CATARINA,September,233,2008-01-01
2009,SANTA CATARINA,September,47,2009-01-01
2010,SANTA CATARINA,September,198,2010-01-01
2011,SANTA CATARINA,September,450,2011-01-01
2012,SANTA CATARINA,September,188,2012-01-01
2013,SANTA CATARINA,September,303,2013-01-01
2014,SANTA CATARINA,September,208,2014-01-01
2015,SANTA CATARINA,September,156,2015-01-01
2016,SANTA CATARINA,September,644,2016-01-01
2017,SANTA CATARINA,September,626,2017-01-01
1998,SANTA CATARINA,October,4,1998-01-01
1999,SANTA CATARINA,October,16,1999-01-01
2000,SANTA CATARINA,October,55,2000-01-01
2001,SANTA CATARINA,October,26,2001-01-01
2002,SANTA CATARINA,October,42,2002-01-01
2003,SANTA CATARINA,October,669,2003-01-01
2004,SANTA CATARINA,October,704,2004-01-01
2005,SANTA CATARINA,October,197,2005-01-01
2006,SANTA CATARINA,October,269,2006-01-01
2007,SANTA CATARINA,October,35,2007-01-01
2008,SANTA CATARINA,October,56,2008-01-01
2009,SANTA CATARINA,October,252,2009-01-01
2010,SANTA CATARINA,October,76,2010-01-01
2011,SANTA CATARINA,October,102,2011-01-01
2012,SANTA CATARINA,October,34,2012-01-01
2013,SANTA CATARINA,October,107,2013-01-01
2014,SANTA CATARINA,October,122,2014-01-01
2015,SANTA CATARINA,October,21,2015-01-01
2016,SANTA CATARINA,October,56,2016-01-01
2017,SANTA CATARINA,October,51,2017-01-01
1998,SANTA CATARINA,November,21,1998-01-01
1999,SANTA CATARINA,November,84,1999-01-01
2000,SANTA CATARINA,November,19,2000-01-01
2001,SANTA CATARINA,November,66,2001-01-01
2002,SANTA CATARINA,November,348,2002-01-01
2003,SANTA CATARINA,November,347,2003-01-01
2004,SANTA CATARINA,November,279,2004-01-01
2005,SANTA CATARINA,November,384,2005-01-01
2006,SANTA CATARINA,November,45,2006-01-01
2007,SANTA CATARINA,November,26,2007-01-01
2008,SANTA CATARINA,November,16,2008-01-01
2009,SANTA CATARINA,November,61,2009-01-01
2010,SANTA CATARINA,November,88,2010-01-01
2011,SANTA CATARINA,November,79,2011-01-01
2012,SANTA CATARINA,November,72,2012-01-01
2013,SANTA CATARINA,November,84,2013-01-01
2014,SANTA CATARINA,November,43,2014-01-01
2015,SANTA CATARINA,November,9,2015-01-01
2016,SANTA CATARINA,November,156,2016-01-01
2017,SANTA CATARINA,November,152,2017-01-01
1998,SANTA CATARINA,December,26,1998-01-01
1999,SANTA CATARINA,December,89,1999-01-01
2000,SANTA CATARINA,December,29,2000-01-01
2001,SANTA CATARINA,December,45,2001-01-01
2002,SANTA CATARINA,December,76,2002-01-01
2003,SANTA CATARINA,December,129,2003-01-01
2004,SANTA CATARINA,December,68,2004-01-01
2005,SANTA CATARINA,December,17,2005-01-01
2006,SANTA CATARINA,December,7,2006-01-01
2007,SANTA CATARINA,December,17,2007-01-01
2008,SANTA CATARINA,December,29,2008-01-01
2009,SANTA CATARINA,December,20,2009-01-01
2010,SANTA CATARINA,December,23,2010-01-01
2011,SANTA CATARINA,December,24,2011-01-01
2012,SANTA CATARINA,December,32,2012-01-01
2013,SANTA CATARINA,December,74,2013-01-01
2014,SANTA CATARINA,December,45,2014-01-01
2015,SANTA CATARINA,December,19,2015-01-01
2016,SANTA CATARINA,December,20,2016-01-01
1998,SAO PAULO,January,0,1998-01-01
1999,SAO PAULO,January,7,1999-01-01
2000,SAO PAULO,January,36,2000-01-01
2001,SAO PAULO,January,26,2001-01-01
2002,SAO PAULO,January,19,2002-01-01
2003,SAO PAULO,January,59,2003-01-01
2004,SAO PAULO,January,37,2004-01-01
2005,SAO PAULO,January,26,2005-01-01
2006,SAO PAULO,January,76,2006-01-01
2007,SAO PAULO,January,14,2007-01-01
2008,SAO PAULO,January,34,2008-01-01
2009,SAO PAULO,January,12,2009-01-01
2010,SAO PAULO,January,45,2010-01-01
2011,SAO PAULO,January,75,2011-01-01
2012,SAO PAULO,January,38,2012-01-01
2013,SAO PAULO,January,36,2013-01-01
2014,SAO PAULO,January,99,2014-01-01
2015,SAO PAULO,January,120,2015-01-01
2016,SAO PAULO,January,85,2016-01-01
2017,SAO PAULO,January,28,2017-01-01
1998,SAO PAULO,February,0,1998-01-01
1999,SAO PAULO,February,47,1999-01-01
2000,SAO PAULO,February,25,2000-01-01
2001,SAO PAULO,February,25,2001-01-01
2002,SAO PAULO,February,19,2002-01-01
2003,SAO PAULO,February,137,2003-01-01
2004,SAO PAULO,February,41,2004-01-01
2005,SAO PAULO,February,78,2005-01-01
2006,SAO PAULO,February,59,2006-01-01
2007,SAO PAULO,February,96,2007-01-01
2008,SAO PAULO,February,30,2008-01-01
2009,SAO PAULO,February,65,2009-01-01
2010,SAO PAULO,February,152,2010-01-01
2011,SAO PAULO,February,73,2011-01-01
2012,SAO PAULO,February,81,2012-01-01
2013,SAO PAULO,February,100,2013-01-01
2014,SAO PAULO,February,112,2014-01-01
2015,SAO PAULO,February,69,2015-01-01
2016,SAO PAULO,February,188,2016-01-01
2017,SAO PAULO,February,107,2017-01-01
1998,SAO PAULO,March,0,1998-01-01
1999,SAO PAULO,March,78,1999-01-01
2000,SAO PAULO,March,26,2000-01-01
2001,SAO PAULO,March,35,2001-01-01
2002,SAO PAULO,March,111,2002-01-01
2003,SAO PAULO,March,86,2003-01-01
2004,SAO PAULO,March,73,2004-01-01
2005,SAO PAULO,March,73,2005-01-01
2006,SAO PAULO,March,106,2006-01-01
2007,SAO PAULO,March,152,2007-01-01
2008,SAO PAULO,March,72,2008-01-01
2009,SAO PAULO,March,55,2009-01-01
2010,SAO PAULO,March,111,2010-01-01
2011,SAO PAULO,March,45,2011-01-01
2012,SAO PAULO,March,99,2012-01-01
2013,SAO PAULO,March,57,2013-01-01
2014,SAO PAULO,March,75,2014-01-01
2015,SAO PAULO,March,68,2015-01-01
2016,SAO PAULO,March,82,2016-01-01
2017,SAO PAULO,March,103,2017-01-01
1998,SAO PAULO,April,0,1998-01-01
1999,SAO PAULO,April,291,1999-01-01
2000,SAO PAULO,April,102,2000-01-01
2001,SAO PAULO,April,61,2001-01-01
2002,SAO PAULO,April,178,2002-01-01
2003,SAO PAULO,April,106,2003-01-01
2004,SAO PAULO,April,36,2004-01-01
2005,SAO PAULO,April,62,2005-01-01
2006,SAO PAULO,April,63,2006-01-01
2007,SAO PAULO,April,44,2007-01-01
2008,SAO PAULO,April,84,2008-01-01
2009,SAO PAULO,April,67,2009-01-01
2010,SAO PAULO,April,91,2010-01-01
2011,SAO PAULO,April,52,2011-01-01
2012,SAO PAULO,April,82,2012-01-01
2013,SAO PAULO,April,103,2013-01-01
2014,SAO PAULO,April,103,2014-01-01
2015,SAO PAULO,April,76,2015-01-01
2016,SAO PAULO,April,307,2016-01-01
2017,SAO PAULO,April,41,2017-01-01
1998,SAO PAULO,May,0,1998-01-01
1999,SAO PAULO,May,500,1999-01-01
2000,SAO PAULO,May,300,2000-01-01
2001,SAO PAULO,May,211,2001-01-01
2002,SAO PAULO,May,319,2002-01-01
2003,SAO PAULO,May,69,2003-01-01
2004,SAO PAULO,May,60,2004-01-01
2005,SAO PAULO,May,212,2005-01-01
