year,state,month,Number of Fires
2010,ESPÍRITO SANTO,March,3
2010,ESPÍRITO SANTO,April,7
2010,ESPÍRITO SANTO,May,3
2010,ESPÍRITO SANTO,June,3
2010,ESPÍRITO SANTO,July,5
2010,ESPÍRITO SANTO,August,39
2010,ESPÍRITO SANTO,September,53
2010,ESPÍRITO SANTO,October,32
2010,ESPÍRITO SANTO,November,3
2010,ESPÍRITO SANTO,December,10
2011,ESPÍRITO SANTO,January,3
2011,ESPÍRITO SANTO,February,42
2011,ESPÍRITO SANTO,March,5
2011,ESPÍRITO SANTO,April,3
2011,ESPÍRITO SANTO,May,2
2011,ESPÍRITO SANTO,June,7
2011,ESPÍRITO SANTO,July,18
2011,ESPÍRITO SANTO,August,93
2011,ESPÍRITO SANTO,September,108
2011,ESPÍRITO SANTO,October,38
2011,ESPÍRITO SANTO,November,6
2011,ESPÍRITO SANTO,December,1
2012,ESPÍRITO SANTO,January,1
2012,ESPÍRITO SANTO,February,25
2012,ESPÍRITO SANTO,March,35
2012,ESPÍRITO SANTO,April,74
2012,ESPÍRITO SANTO,May,20
2012,ESPÍRITO SANTO,June,15
2012,ESPÍRITO SANTO,July,35
2012,ESPÍRITO SANTO,August,12
2012,ESPÍRITO SANTO,September,48
2012,ESPÍRITO SANTO,October,62
2012,ESPÍRITO SANTO,November,7
2012,ESPÍRITO SANTO,December,18
2013,ESPÍRITO SANTO,January,10
2013,ESPÍRITO SANTO,February,15
2013,ESPÍRITO SANTO,March,13
2013,ESPÍRITO SANTO,April,16
2013,ESPÍRITO SANTO,May,14
2013,ESPÍRITO SANTO,June,22
2013,ESPÍRITO SANTO,July,20
2013,ESPÍRITO SANTO,August,53
2013,ESPÍRITO SANTO,September,30
2013,ESPÍRITO SANTO,October,37
2013,ESPÍRITO SANTO,November,11
2013,ESPÍRITO SANTO,December,9
2014,ESPÍRITO SANTO,January,11
2014,ESPÍRITO SANTO,February,17
2014,ESPÍRITO SANTO,March,15
2014,ESPÍRITO SANTO,April,15
2014,ESPÍRITO SANTO,May,18
2014,ESPÍRITO SANTO,June,9
2014,ESPÍRITO SANTO,July,17
2014,ESPÍRITO SANTO,August,47
2014,ESPÍRITO SANTO,September,61
2014,ESPÍRITO SANTO,October,89
2014,ESPÍRITO SANTO,November,20
2014,ESPÍRITO SANTO,December,28
2015,ESPÍRITO SANTO,January,76
2015,ESPÍRITO SANTO,February,60
2015,ESPÍRITO SANTO,March,25
2015,ESPÍRITO SANTO,April,33
2015,ESPÍRITO SANTO,May,17
2015,ESPÍRITO SANTO,June,18
2015,ESPÍRITO SANTO,July,30
2015,ESPÍRITO SANTO,August,35
2015,ESPÍRITO SANTO,September,228
2015,ESPÍRITO SANTO,October,307
2015,ESPÍRITO SANTO,November,141
2015,ESPÍRITO SANTO,December,61
2016,ESPÍRITO SANTO,January,43
2016,ESPÍRITO SANTO,February,24
2016,ESPÍRITO SANTO,March,107
2016,ESPÍRITO SANTO,April,57
2016,ESPÍRITO SANTO,May,48
2016,ESPÍRITO SANTO,June,49
2016,ESPÍRITO SANTO,July,42
2016,ESPÍRITO SANTO,August,78
2016,ESPÍRITO SANTO,September,128
2016,ESPÍRITO SANTO,October,58
2016,ESPÍRITO SANTO,November,8
2016,ESPÍRITO SANTO,December,12
2017,ESPÍRITO SANTO,January,13
2017,ESPÍRITO SANTO,February,8
2017,ESPÍRITO SANTO,March,9
2017,ESPÍRITO SANTO,April,7
2017,ESPÍRITO SANTO,May,10
2017,ESPÍRITO SANTO,June,37
2017,ESPÍRITO SANTO,July,3
2017,ESPÍRITO SANTO,August,30
2017,ESPÍRITO SANTO,September,58
2017,ESPÍRITO SANTO,October,56
2017,ESPÍRITO SANTO,November,3
1998,GOIÁS,January,0
1998,GOIÁS,February,0
1998,GOIÁS,March,0
1998,GOIÁS,April,0
1998,GOIÁS,May,0
1998,GOIÁS,June,172
1998,GOIÁS,July,512
1998,GOIÁS,August,2218
1998,GOIÁS,September,2867
1998,GOIÁS,October,1034
1998,GOIÁS,November,47
1998,GOIÁS,December,13
1999,GOIÁS,January,14
1999,GOIÁS,February,334
1999,GOIÁS,March,1
1999,GOIÁS,April,25
1999,GOIÁS,May,99
1999,GOIÁS,June,250
1999,GOIÁS,July,311
1999,GOIÁS,August,1198
1999,GOIÁS,September,1898
1999,GOIÁS,October,743
1999,GOIÁS,November,110
1999,GOIÁS,December,20
2000,GOIÁS,January,10
2000,GOIÁS,February,11
2000,GOIÁS,March,4
2000,GOIÁS,April,16
2000,GOIÁS,May,58
2000,GOIÁS,June,222
2000,GOIÁS,July,332
2000,GOIÁS,August,925
2000,GOIÁS,September,1293
2000,GOIÁS,October,905
2000,GOIÁS,November,26
2000,GOIÁS,December,6
2001,GOIÁS,January,29
2001,GOIÁS,February,9
2001,GOIÁS,March,10
2001,GOIÁS,April,49
2001,GOIÁS,May,85
2001,GOIÁS,June,212
2001,GOIÁS,July,371
2001,GOIÁS,August,787
2001,GOIÁS,September,1863
2001,GOIÁS,October,479
2001,GOIÁS,November,15
2001,GOIÁS,December,18
2002,GOIÁS,January,12
2002,GOIÁS,February,9
2002,GOIÁS,March,48
2002,GOIÁS,April,78
2002,GOIÁS,May,171
2002,GOIÁS,June,302
2002,GOIÁS,July,686
2002,GOIÁS,August,1428
2002,GOIÁS,September,3520
2002,GOIÁS,October,1367
2002,GOIÁS,November,192
2002,GOIÁS,December,115
2003,GOIÁS,January,14
2003,GOIÁS,February,47
2003,GOIÁS,March,29
2003,GOIÁS,April,87
2003,GOIÁS,May,57
2003,GOIÁS,June,321
2003,GOIÁS,July,322
2003,GOIÁS,August,902
2003,GOIÁS,September,1662
2003,GOIÁS,October,1183
2003,GOIÁS,November,168
2003,GOIÁS,December,129
2004,GOIÁS,January,10
2004,GOIÁS,February,11
2004,GOIÁS,March,36
2004,GOIÁS,April,32
2004,GOIÁS,May,157
2004,GOIÁS,June,422
2004,GOIÁS,July,778
2004,GOIÁS,August,1498
2004,GOIÁS,September,2965
2004,GOIÁS,October,1275
2004,GOIÁS,November,291
2004,GOIÁS,December,56
2005,GOIÁS,January,27
2005,GOIÁS,February,84
2005,GOIÁS,March,36
2005,GOIÁS,April,55
2005,GOIÁS,May,164
2005,GOIÁS,June,189
2005,GOIÁS,July,363
2005,GOIÁS,August,639
2005,GOIÁS,September,1341
2005,GOIÁS,October,1717
2005,GOIÁS,November,144
2005,GOIÁS,December,5
2006,GOIÁS,January,85
2006,GOIÁS,February,21
2006,GOIÁS,March,29
2006,GOIÁS,April,22
2006,GOIÁS,May,33
2006,GOIÁS,June,70
2006,GOIÁS,July,169
2006,GOIÁS,August,588
2006,GOIÁS,September,1463
2006,GOIÁS,October,178
2006,GOIÁS,November,91
2006,GOIÁS,December,7
2007,GOIÁS,January,28
2007,GOIÁS,February,13
2007,GOIÁS,March,49
2007,GOIÁS,April,17
2007,GOIÁS,May,94
2007,GOIÁS,June,186
2007,GOIÁS,July,399
2007,GOIÁS,August,2382
2007,GOIÁS,September,3745
2007,GOIÁS,October,1195
2007,GOIÁS,November,79
2007,GOIÁS,December,16
2008,GOIÁS,January,23
2008,GOIÁS,February,25
2008,GOIÁS,March,20
2008,GOIÁS,April,36
2008,GOIÁS,May,41
2008,GOIÁS,June,55
2008,GOIÁS,July,193
2008,GOIÁS,August,568
2008,GOIÁS,September,1255
2008,GOIÁS,October,1231
2008,GOIÁS,November,90
2008,GOIÁS,December,6
2009,GOIÁS,January,30
2009,GOIÁS,February,29
2009,GOIÁS,March,32
2009,GOIÁS,April,11
2009,GOIÁS,May,104
2009,GOIÁS,June,179
2009,GOIÁS,July,470
2009,GOIÁS,August,647
2009,GOIÁS,September,685
2009,GOIÁS,October,367
2009,GOIÁS,November,89
2009,GOIÁS,December,39
2010,GOIÁS,January,59
2010,GOIÁS,February,86
2010,GOIÁS,March,65
2010,GOIÁS,April,105
2010,GOIÁS,May,239
2010,GOIÁS,June,278
2010,GOIÁS,July,941
2010,GOIÁS,August,2914
2010,GOIÁS,September,5075
2010,GOIÁS,October,1227
2010,GOIÁS,November,67
2010,GOIÁS,December,48
2011,GOIÁS,January,39
2011,GOIÁS,February,45
2011,GOIÁS,March,19
2011,GOIÁS,April,71
2011,GOIÁS,May,136
2011,GOIÁS,June,314
2011,GOIÁS,July,607
2011,GOIÁS,August,1613
2011,GOIÁS,September,2259
2011,GOIÁS,October,476
2011,GOIÁS,November,59
2011,GOIÁS,December,39
2012,GOIÁS,January,21
2012,GOIÁS,February,37
2012,GOIÁS,March,57
2012,GOIÁS,April,89
2012,GOIÁS,May,103
2012,GOIÁS,June,245
2012,GOIÁS,July,564
2012,GOIÁS,August,912
2012,GOIÁS,September,2452
2012,GOIÁS,October,1524
2012,GOIÁS,November,57
2012,GOIÁS,December,93
2013,GOIÁS,January,33
2013,GOIÁS,February,86
2013,GOIÁS,March,79
2013,GOIÁS,April,42
2013,GOIÁS,May,150
2013,GOIÁS,June,192
2013,GOIÁS,July,350
2013,GOIÁS,August,488
2013,GOIÁS,September,684
2013,GOIÁS,October,606
2013,GOIÁS,November,183
2013,GOIÁS,December,86
2014,GOIÁS,January,80
2014,GOIÁS,February,44
2014,GOIÁS,March,80
2014,GOIÁS,April,138
2014,GOIÁS,May,210
2014,GOIÁS,June,318
2014,GOIÁS,July,446
2014,GOIÁS,August,1255
2014,GOIÁS,September,1687
2014,GOIÁS,October,1947
2014,GOIÁS,November,181
2014,GOIÁS,December,68
2015,GOIÁS,January,118
2015,GOIÁS,February,53
2015,GOIÁS,March,76
2015,GOIÁS,April,89
2015,GOIÁS,May,129
2015,GOIÁS,June,277
2015,GOIÁS,July,347
2015,GOIÁS,August,943
2015,GOIÁS,September,2296
2015,GOIÁS,October,1807
2015,GOIÁS,November,547
2015,GOIÁS,December,179
2016,GOIÁS,January,52
2016,GOIÁS,February,117
2016,GOIÁS,March,136
2016,GOIÁS,April,167
2016,GOIÁS,May,233
2016,GOIÁS,June,289
2016,GOIÁS,July,837
2016,GOIÁS,August,1032
2016,GOIÁS,September,1703
2016,GOIÁS,October,522
2016,GOIÁS,November,123
2016,GOIÁS,December,64
2017,GOIÁS,January,53
2017,GOIÁS,February,75
2017,GOIÁS,March,115
2017,GOIÁS,April,60
2017,GOIÁS,May,135
2017,GOIÁS,June,442
2017,GOIÁS,July,577
2017,GOIÁS,August,1492
2017,GOIÁS,September,3238
2017,GOIÁS,October,2401
2017,GOIÁS,November,117
1998,MARANHÃO,January,0
1998,MARANHÃO,February,0
1998,MARANHÃO,March,0
1998,MARANHÃO,April,0
1998,MARANHÃO,May,0
1998,MARANHÃO,June,78
1998,MARANHÃO,July,274
1998,MARANHÃO,August,1176
1998,MARANHÃO,September,3935
1998,MARANHÃO,October,5137
1998,MARANHÃO,November,2237
1998,MARANHÃO,December,1399
1999,MARANHÃO,January,54
1999,MARANHÃO,February,6
1999,MARANHÃO,March,17
1999,MARANHÃO,April,4
1999,MARANHÃO,May,3
1999,MARANHÃO,June,32
1999,MARANHÃO,July,258
1999,MARANHÃO,August,895
1999,MARANHÃO,September,1739
1999,MARANHÃO,October,3208
1999,MARANHÃO,November,1494
1999,MARANHÃO,December,1001
2000,MARANHÃO,January,19
2000,MARANHÃO,February,11
2000,MARANHÃO,March,6
2000,MARANHÃO,April,6
2000,MARANHÃO,May,28
2000,MARANHÃO,June,94
2000,MARANHÃO,July,233
2000,MARANHÃO,August,839
2000,MARANHÃO,September,1365
2000,MARANHÃO,October,2654
2000,MARANHÃO,November,2267
2000,MARANHÃO,December,1461
2001,MARANHÃO,January,29
2001,MARANHÃO,February,1
2001,MARANHÃO,March,0
2001,MARANHÃO,April,2
2001,MARANHÃO,May,21
2001,MARANHÃO,June,100
2001,MARANHÃO,July,549
2001,MARANHÃO,August,2037
2001,MARANHÃO,September,4618
2001,MARANHÃO,October,6661
2001,MARANHÃO,November,3525
2001,MARANHÃO,December,1296
2002,MARANHÃO,January,48
2002,MARANHÃO,February,116
2002,MARANHÃO,March,16
2002,MARANHÃO,April,28
2002,MARANHÃO,May,71
2002,MARANHÃO,June,230
2002,MARANHÃO,July,1271
2002,MARANHÃO,August,3481
2002,MARANHÃO,September,3181
2002,MARANHÃO,October,5182
2002,MARANHÃO,November,5830
2002,MARANHÃO,December,2165
2003,MARANHÃO,January,436
2003,MARANHÃO,February,11
2003,MARANHÃO,March,16
2003,MARANHÃO,April,79
2003,MARANHÃO,May,60
2003,MARANHÃO,June,338
2003,MARANHÃO,July,1103
2003,MARANHÃO,August,2023
2003,MARANHÃO,September,5878
2003,MARANHÃO,October,6085
2003,MARANHÃO,November,4929
2003,MARANHÃO,December,2424
2004,MARANHÃO,January,241
2004,MARANHÃO,February,22
2004,MARANHÃO,March,18
2004,MARANHÃO,April,44
2004,MARANHÃO,May,145
2004,MARANHÃO,June,706
2004,MARANHÃO,July,1366
2004,MARANHÃO,August,1889
2004,MARANHÃO,September,4673
2004,MARANHÃO,October,3604
2004,MARANHÃO,November,6398
2004,MARANHÃO,December,3255
2005,MARANHÃO,January,450
2005,MARANHÃO,February,56
2005,MARANHÃO,March,9
2005,MARANHÃO,April,43
2005,MARANHÃO,May,74
2005,MARANHÃO,June,529
2005,MARANHÃO,July,1152
2005,MARANHÃO,August,2239
2005,MARANHÃO,September,6292
2005,MARANHÃO,October,6472
2005,MARANHÃO,November,4769
2005,MARANHÃO,December,1660
2006,MARANHÃO,January,221
2006,MARANHÃO,February,22
2006,MARANHÃO,March,14
2006,MARANHÃO,April,9
2006,MARANHÃO,May,5
2006,MARANHÃO,June,131
2006,MARANHÃO,July,512
2006,MARANHÃO,August,1382
2006,MARANHÃO,September,2907
2006,MARANHÃO,October,3024
2006,MARANHÃO,November,2004
2006,MARANHÃO,December,1052
2007,MARANHÃO,January,428
2007,MARANHÃO,February,13
2007,MARANHÃO,March,52
2007,MARANHÃO,April,5
2007,MARANHÃO,May,73
2007,MARANHÃO,June,515
2007,MARANHÃO,July,1205
2007,MARANHÃO,August,8409
2007,MARANHÃO,September,8524
2007,MARANHÃO,October,4772
2007,MARANHÃO,November,2297
2007,MARANHÃO,December,800
2008,MARANHÃO,January,121
2008,MARANHÃO,February,45
2008,MARANHÃO,March,4
2008,MARANHÃO,April,26
2008,MARANHÃO,May,26
2008,MARANHÃO,June,235
2008,MARANHÃO,July,502
2008,MARANHÃO,August,713
2008,MARANHÃO,September,2761
2008,MARANHÃO,October,3498
2008,MARANHÃO,November,2331
2008,MARANHÃO,December,1101
2009,MARANHÃO,January,240
2009,MARANHÃO,February,20
2009,MARANHÃO,March,33
2009,MARANHÃO,April,14
2009,MARANHÃO,May,19
2009,MARANHÃO,June,279
2009,MARANHÃO,July,972
2009,MARANHÃO,August,1766
2009,MARANHÃO,September,2404
2009,MARANHÃO,October,1861
2009,MARANHÃO,November,5
2009,MARANHÃO,December,1768
2010,MARANHÃO,January,319
2010,MARANHÃO,February,93
2010,MARANHÃO,March,82
2010,MARANHÃO,April,128
2010,MARANHÃO,May,273
2010,MARANHÃO,June,494
2010,MARANHÃO,July,2323
2010,MARANHÃO,August,6353
2010,MARANHÃO,September,9795
2010,MARANHÃO,October,3228
2010,MARANHÃO,November,4005
2010,MARANHÃO,December,1803
2011,MARANHÃO,January,124
2011,MARANHÃO,February,9
2011,MARANHÃO,March,22
2011,MARANHÃO,April,37
2011,MARANHÃO,May,73
2011,MARANHÃO,June,602
2011,MARANHÃO,July,1024
2011,MARANHÃO,August,2138
2011,MARANHÃO,September,4632
2011,MARANHÃO,October,2404
2011,MARANHÃO,November,2261
2011,MARANHÃO,December,1629
2012,MARANHÃO,January,326
2012,MARANHÃO,February,46
2012,MARANHÃO,March,49
2012,MARANHÃO,April,97
2012,MARANHÃO,May,286
2012,MARANHÃO,June,915
2012,MARANHÃO,July,3548
2012,MARANHÃO,August,10395
2012,MARANHÃO,September,7626
2012,MARANHÃO,October,5000
2012,MARANHÃO,November,2010
2012,MARANHÃO,December,1296
2013,MARANHÃO,January,209
2013,MARANHÃO,February,62
2013,MARANHÃO,March,30
2013,MARANHÃO,April,62
2013,MARANHÃO,May,100
2013,MARANHÃO,June,498
2013,MARANHÃO,July,1111
2013,MARANHÃO,August,2098
2013,MARANHÃO,September,3880
2013,MARANHÃO,October,2918
2013,MARANHÃO,November,2529
2013,MARANHÃO,December,2692
2014,MARANHÃO,January,195
2014,MARANHÃO,February,29
2014,MARANHÃO,March,59
2014,MARANHÃO,April,78
2014,MARANHÃO,May,148
2014,MARANHÃO,June,812
2014,MARANHÃO,July,2068
2014,MARANHÃO,August,5592
2014,MARANHÃO,September,4373
2014,MARANHÃO,October,5812
2014,MARANHÃO,November,3869
2014,MARANHÃO,December,2400
2015,MARANHÃO,January,494
2015,MARANHÃO,February,95
2015,MARANHÃO,March,53
2015,MARANHÃO,April,119
2015,MARANHÃO,May,194
2015,MARANHÃO,June,887
2015,MARANHÃO,July,1642
2015,MARANHÃO,August,5428
2015,MARANHÃO,September,6423
2015,MARANHÃO,October,6746
2015,MARANHÃO,November,4350
2015,MARANHÃO,December,3706
2016,MARANHÃO,January,412
2016,MARANHÃO,February,318
2016,MARANHÃO,March,113
2016,MARANHÃO,April,113
2016,MARANHÃO,May,206
2016,MARANHÃO,June,709
2016,MARANHÃO,July,2096
2016,MARANHÃO,August,3723
2016,MARANHÃO,September,3166
2016,MARANHÃO,October,5351
2016,MARANHÃO,November,3982
2016,MARANHÃO,December,1577
2017,MARANHÃO,January,187
2017,MARANHÃO,February,47
2017,MARANHÃO,March,32
2017,MARANHÃO,April,91
2017,MARANHÃO,May,142
2017,MARANHÃO,June,885
2017,MARANHÃO,July,2521
2017,MARANHÃO,August,3875
2017,MARANHÃO,September,14825
2017,MARANHÃO,October,6011
2017,MARANHÃO,November,2300
1998,MATO GROSSO,January,0
1998,MATO GROSSO,February,0
1998,MATO GROSSO,March,0
1998,MATO GROSSO,April,0
1998,MATO GROSSO,May,0
1998,MATO GROSSO,June,82
1998,MATO GROSSO,July,360
1998,MATO GROSSO,August,228
1998,MATO GROSSO,September,457
1998,MATO GROSSO,October,576
1998,MATO GROSSO,November,306
1998,MATO GROSSO,December,100
1999,MATO GROSSO,January,239
1999,MATO GROSSO,February,69
1999,MATO GROSSO,March,100
1999,MATO GROSSO,April,97
1999,MATO GROSSO,May,206
1999,MATO GROSSO,June,127
1999,MATO GROSSO,July,1297
1999,MATO GROSSO,August,4355
1999,MATO GROSSO,September,2969
1999,MATO GROSSO,October,2053
1999,MATO GROSSO,November,1194
1999,MATO GROSSO,December,306
2000,MATO GROSSO,January,326
2000,MATO GROSSO,February,81
2000,MATO GROSSO,March,23
2000,MATO GROSSO,April,90
2000,MATO GROSSO,May,127
2000,MATO GROSSO,June,157
2000,MATO GROSSO,July,160
2000,MATO GROSSO,August,530
2000,MATO GROSSO,September,510
2000,MATO GROSSO,October,657
2000,MATO GROSSO,November,274
2000,MATO GROSSO,December,139
2001,MATO GROSSO,January,97
2001,MATO GROSSO,February,89
2001,MATO GROSSO,March,39
2001,MATO GROSSO,April,108
2001,MATO GROSSO,May,112
2001,MATO GROSSO,June,249
2001,MATO GROSSO,July,591
2001,MATO GROSSO,August,2484
2001,MATO GROSSO,September,1383
2001,MATO GROSSO,October,563
2001,MATO GROSSO,November,220
2001,MATO GROSSO,December,143
2002,MATO GROSSO,January,304
2002,MATO GROSSO,February,98
2002,MATO GROSSO,March,115
2002,MATO GROSSO,April,230
2002,MATO GROSSO,May,88
2002,MATO GROSSO,June,517
2002,MATO GROSSO,July,935
2002,MATO GROSSO,August,3984
2002,MATO GROSSO,September,2252
2002,MATO GROSSO,October,2173
2002,MATO GROSSO,November,1470
2002,MATO GROSSO,December,376
2003,MATO GROSSO,January,182
2003,MATO GROSSO,February,108
2003,MATO GROSSO,March,137
2003,MATO GROSSO,April,126
2003,MATO GROSSO,May,74
2003,MATO GROSSO,June,170
2003,MATO GROSSO,July,182
2003,MATO GROSSO,August,953
2003,MATO GROSSO,September,1124
2003,MATO GROSSO,October,541
2003,MATO GROSSO,November,380
2003,MATO GROSSO,December,153
2004,MATO GROSSO,January,258
2004,MATO GROSSO,February,169
2004,MATO GROSSO,March,225
2004,MATO GROSSO,April,97
2004,MATO GROSSO,May,25
2004,MATO GROSSO,June,394
2004,MATO GROSSO,July,529
2004,MATO GROSSO,August,1408
2004,MATO GROSSO,September,2511
2004,MATO GROSSO,October,960
2004,MATO GROSSO,November,208
2004,MATO GROSSO,December,110
2005,MATO GROSSO,January,59
2005,MATO GROSSO,February,221
2005,MATO GROSSO,March,158
2005,MATO GROSSO,April,126
2005,MATO GROSSO,May,328
2005,MATO GROSSO,June,439
2005,MATO GROSSO,July,859
2005,MATO GROSSO,August,4484
2005,MATO GROSSO,September,1870
2005,MATO GROSSO,October,647
2005,MATO GROSSO,November,159
2005,MATO GROSSO,December,46
2006,MATO GROSSO,January,59
2006,MATO GROSSO,February,104
2006,MATO GROSSO,March,137
2006,MATO GROSSO,April,51
2006,MATO GROSSO,May,99
2006,MATO GROSSO,June,89
2006,MATO GROSSO,July,289
2006,MATO GROSSO,August,1129
2006,MATO GROSSO,September,1078
2006,MATO GROSSO,October,244
2006,MATO GROSSO,November,83
2006,MATO GROSSO,December,18
2007,MATO GROSSO,January,19
2007,MATO GROSSO,February,111
2007,MATO GROSSO,March,137
2007,MATO GROSSO,April,46
2007,MATO GROSSO,May,62
2007,MATO GROSSO,June,141
2007,MATO GROSSO,July,197
2007,MATO GROSSO,August,1823
2007,MATO GROSSO,September,4446
2007,MATO GROSSO,October,668
2007,MATO GROSSO,November,82
2007,MATO GROSSO,December,15
2008,MATO GROSSO,January,63
2008,MATO GROSSO,February,78
2008,MATO GROSSO,March,97
2008,MATO GROSSO,April,72
2008,MATO GROSSO,May,34
2008,MATO GROSSO,June,24
2008,MATO GROSSO,July,116
2008,MATO GROSSO,August,456
2008,MATO GROSSO,September,1620
2008,MATO GROSSO,October,432
2008,MATO GROSSO,November,50
2008,MATO GROSSO,December,208
2009,MATO GROSSO,January,229
2009,MATO GROSSO,February,164
2009,MATO GROSSO,March,118
2009,MATO GROSSO,April,291
2009,MATO GROSSO,May,927
2009,MATO GROSSO,June,376
2009,MATO GROSSO,July,354
2009,MATO GROSSO,August,816
2009,MATO GROSSO,September,1146
2009,MATO GROSSO,October,854
2009,MATO GROSSO,November,439
2009,MATO GROSSO,December,87
2010,MATO GROSSO,January,72
2010,MATO GROSSO,February,157
2010,MATO GROSSO,March,149
2010,MATO GROSSO,April,136
2010,MATO GROSSO,May,105
2010,MATO GROSSO,June,149
2010,MATO GROSSO,July,589
2010,MATO GROSSO,August,1721
2010,MATO GROSSO,September,1505
2010,MATO GROSSO,October,597
2010,MATO GROSSO,November,259
2010,MATO GROSSO,December,276
2011,MATO GROSSO,January,129
2011,MATO GROSSO,February,61
2011,MATO GROSSO,March,37
2011,MATO GROSSO,April,23
2011,MATO GROSSO,May,81
2011,MATO GROSSO,June,104
2011,MATO GROSSO,July,250
2011,MATO GROSSO,August,552
2011,MATO GROSSO,September,1072
2011,MATO GROSSO,October,276
2011,MATO GROSSO,November,445
2011,MATO GROSSO,December,577
2012,MATO GROSSO,January,201
2012,MATO GROSSO,February,112
2012,MATO GROSSO,March,169
2012,MATO GROSSO,April,97
2012,MATO GROSSO,May,157
2012,MATO GROSSO,June,96
2012,MATO GROSSO,July,538
2012,MATO GROSSO,August,2951
2012,MATO GROSSO,September,2264
2012,MATO GROSSO,October,652
2012,MATO GROSSO,November,115
2012,MATO GROSSO,December,194
2013,MATO GROSSO,January,174
2013,MATO GROSSO,February,100
2013,MATO GROSSO,March,158
2013,MATO GROSSO,April,78
2013,MATO GROSSO,May,72
2013,MATO GROSSO,June,35
2013,MATO GROSSO,July,201
2013,MATO GROSSO,August,677
2013,MATO GROSSO,September,1074
2013,MATO GROSSO,October,378
2013,MATO GROSSO,November,423
2013,MATO GROSSO,December,195
2014,MATO GROSSO,January,197
2014,MATO GROSSO,February,139
2014,MATO GROSSO,March,95
2014,MATO GROSSO,April,129
2014,MATO GROSSO,May,70
2014,MATO GROSSO,June,84
2014,MATO GROSSO,July,193
2014,MATO GROSSO,August,312
2014,MATO GROSSO,September,365
2014,MATO GROSSO,October,581
2014,MATO GROSSO,November,190
2014,MATO GROSSO,December,84
2015,MATO GROSSO,January,226
2015,MATO GROSSO,February,148
2015,MATO GROSSO,March,190
2015,MATO GROSSO,April,65
2015,MATO GROSSO,May,58
2015,MATO GROSSO,June,299
2015,MATO GROSSO,July,371
2015,MATO GROSSO,August,1293
2015,MATO GROSSO,September,1482
2015,MATO GROSSO,October,507
2015,MATO GROSSO,November,276
2015,MATO GROSSO,December,394
2016,MATO GROSSO,January,127
2016,MATO GROSSO,February,187
2016,MATO GROSSO,March,143
2016,MATO GROSSO,April,161
2016,MATO GROSSO,May,97
2016,MATO GROSSO,June,120
2016,MATO GROSSO,July,687
2016,MATO GROSSO,August,1481
2016,MATO GROSSO,September,2383
2016,MATO GROSSO,October,1200
2016,MATO GROSSO,November,258
2016,MATO GROSSO,December,123
2017,MATO GROSSO,January,355
2017,MATO GROSSO,February,165
2017,MATO GROSSO,March,170
2017,MATO GROSSO,April,59
2017,MATO GROSSO,May,72
2017,MATO GROSSO,June,175
2017,MATO GROSSO,July,1050
2017,MATO GROSSO,August,1488
2017,MATO GROSSO,September,2984
2017,MATO GROSSO,October,685
2017,MATO GROSSO,November,133
1998,MATO GROSSO DO SUL,January,0
1998,MATO GROSSO DO SUL,February,0
1998,MATO GROSSO DO SUL,March,0
1998,MATO GROSSO DO SUL,April,0
1998,MATO GROSSO DO SUL,May,0
1998,MATO GROSSO DO SUL,June,2201
1998,MATO GROSSO DO SUL,July,3712
1998,MATO GROSSO DO SUL,August,15406
1998,MATO GROSSO DO SUL,September,10363
1998,MATO GROSSO DO SUL,October,2707
1998,MATO GROSSO DO SUL,November,182
1998,MATO GROSSO DO SUL,December,76
1999,MATO GROSSO DO SUL,January,39
1999,MATO GROSSO DO SUL,February,28
1999,MATO GROSSO DO SUL,March,18
1999,MATO GROSSO DO SUL,April,76
1999,MATO GROSSO DO SUL,May,731
1999,MATO GROSSO DO SUL,June,2201
1999,MATO GROSSO DO SUL,July,3926
1999,MATO GROSSO DO SUL,August,18566
1999,MATO GROSSO DO SUL,September,11729
1999,MATO GROSSO DO SUL,October,6109
1999,MATO GROSSO DO SUL,November,842
1999,MATO GROSSO DO SUL,December,47
2000,MATO GROSSO DO SUL,January,44
2000,MATO GROSSO DO SUL,February,35
2000,MATO GROSSO DO SUL,March,60
2000,MATO GROSSO DO SUL,April,59
2000,MATO GROSSO DO SUL,May,1194
2000,MATO GROSSO DO SUL,June,4358
2000,MATO GROSSO DO SUL,July,1338
2000,MATO GROSSO DO SUL,August,6063
2000,MATO GROSSO DO SUL,September,6251
2000,MATO GROSSO DO SUL,October,6062
2000,MATO GROSSO DO SUL,November,502
2000,MATO GROSSO DO SUL,December,98
2001,MATO GROSSO DO SUL,January,44
2001,MATO GROSSO DO SUL,February,54
2001,MATO GROSSO DO SUL,March,24
2001,MATO GROSSO DO SUL,April,309
2001,MATO GROSSO DO SUL,May,1193
2001,MATO GROSSO DO SUL,June,6665
2001,MATO GROSSO DO SUL,July,1555
2001,MATO GROSSO DO SUL,August,7762
2001,MATO GROSSO DO SUL,September,8490
2001,MATO GROSSO DO SUL,October,6543
2001,MATO GROSSO DO SUL,November,373
2001,MATO GROSSO DO SUL,December,37
2002,MATO GROSSO DO SUL,January,172
2002,MATO GROSSO DO SUL,February,22
2002,MATO GROSSO DO SUL,March,103
2002,MATO GROSSO DO SUL,April,641
2002,MATO GROSSO DO SUL,May,2528
2002,MATO GROSSO DO SUL,June,7878
2002,MATO GROSSO DO SUL,July,5661
